pk,nombre,descripcion_entidad,horario,equipamiento,transporte,descripcion,accesibilidad,content_url,nombre_via,clase_vial,tipo_num,num,planta,puerta,escaleras,orientacion,localidad,provincia,codigo_postal,cod_barrio,barrio,cod_distrito,distrito,coordenada_x,coordenada_y,latitud,longitud,telefono,fax,email,tipo,parent_equipamiento_municipal_id,servicio,actividad_regular,punto_observ_id
11824,Apartamentos Municipales para Mayores 'San Francisco',,,Alojamiento.,"Metro: LatinaBus: 3, 148","Condiciones de Admisión: - Estar empadronado en el municipio de Madrid.- Ser mayor de 65 años (también el cónyuge que conviva con él, siempre que tenga cumplidos los 60 años).- Ser autónomo en la realización de las actividades básicas diarias.- Carecer de vivienda propia o ser ésta inadecuada y/o encontrarse en riesgo por vivir solo.- Estar dispuesto a ingresar en un Centro Residencial Asistido cuando no se valga por sí mismo.",1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8300d4985261c010VgnVCM1000000b205a0aRCRD,JERTE,CALLE,V,3.0,,,,,MADRID,MADRID,28005,1.0,PALACIO,1.0,CENTRO,439289.0,4473597.0,40.41077050441227,-3.715552056000273,913 644 005,,,/contenido/entidadesYorganismos/CentrosAtencionSocialMayores/ResidenciasApartamentosMayores,11744.0,,,1502
10613790,"APFMPS, Residencia, centro de día y centro ocupacional Instituto Doctor Quintero Lumbreras",,,"Residencia, centro de día y centro ocupacional para personas con discapacidad intelectual.","Bus: 712, 713, 714, 716",,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=11dc2ab96da61610VgnVCM1000001d4a900aRCRD,COLMENAR VIEJO,CARRETERA,V,13.6,,,,,MADRID,MADRID,28049,,,,DISTRITO,439552.0,4490491.0,40.56299317375062,-3.714051714641888,917 345 138,,,/contenido/entidadesYorganismos/CentrosAtencionSocialPersonasDiscapacidad/CentrosOcupacionalesPersonasDiscapacidad,,,,1338
34541,"Aprocor I, Taller centro ocupacional",,,Centro ocupacional para personas con discapacidad intelectual,"Bus: 112, 122, 153, 104",,3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9697b3e42751c010VgnVCM2000000c205a0aRCRD,ESTEBAN PALACIOS,CALLE,V,12.0,,,,,MADRID,MADRID,28043,2.0,PIOVERA,16.0,HORTALEZA,447242.0,4478764.0,40.45787290490863,-3.6222314192739904,917 598 457,,,/contenido/entidadesYorganismos/CentrosAtencionSocialPersonasDiscapacidad/CentrosOcupacionalesPersonasDiscapacidad,,,workshop,1224
10610720,"Asociación esclerosis múltiple Madrid, centro de rehabilitación",,,Centro de rehabilitación para personas con discapacidad física.,"Bus: 67, 83, 125, 175, 178, 165, 166",,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2e94ef2b16151610VgnVCM1000001d4a900aRCRD,SANGENJO,CALLE,V,36.0,1º,,,,MADRID,MADRID,28034,5.0,LA PAZ,8.0,FUENCARRAL-EL PARDO,440796.0,4482105.0,40.48753110350201,-3.6985691585465794,913 785 526,,,/contenido/entidadesYorganismos/CentrosAtencionSocialPersonasDiscapacidad,,fisioterapia,,1097
6996740,ASPAYM Madrid (Asociación de Parapléjicos y Personas con Gran Discapacidad Física de la Comunidad de Madrid),,"De lunes a viernes, de 09:00 a 15:00 y de 16:00 a 18:00 h.",Servicio de Orientación e información. Oficina de accesibilidad. Formación y empleo. Rehabilitación domiciliaria. Atención personal. Vida autónoma. Oficina de vida independiente.,,"ASPAYM Madrid tiene como fines:  Facilitar, en lo posible, y a través de los medios adecuados, que los lesionados medulares adquieran los conocimientos y aptitudes necesarias para su plena integración social Prestar la ayuda y colaboración necesaria para la promoción cultural, gestión de empleo, organización de cursos e incorporación a los mismos de las personas con  lesiones medulares, así como su defensa jurídica y laboral. Promover la formación contínua y ocupacional de las personas con lesión medular y con gran discapacidad, con especial atención a las mujeres, a las personas mayores de 45 años de edad y a las personas jóvenes, buscando la integración laboral mediante una política de formación y selección para el empleo, ajustada a las necesidades del mercado laboral. Contribuir a la mentalización de la Sociedad, para que tome conciencia de la necesidad de la integración plena en su seno, de las personas con lesión medular y demás personas con discapacidad, llevando a cabo todas aquellas acciones y actividades destinadas a mejorar la calidad de vida de los mismos Elevar a las autoridades propuestas tendentes al logro del objetivo primordial de la Asociación, cual es la plena integración social de las personas con lesión medular para, a su vez, colaborar con los órganos legislativos estatales y auton&amp;acute;pmicos, en la elaboración de Leyes que afecten a este colectivo. Colaborar con otras Asociaciones de fines análogos en el logro de los mismos. Fomento de programas de apoyo orientados, específicamente, a las familias de las personas con lesiones medulares.",1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fedcaee55f14f310VgnVCM1000000b205a0aRCRD,VALDERRIBAS,CAMINO,V,115.0,,,,,MADRID,MADRID,28038,6.0,NUMANCIA,13.0,PUENTE DE VALLECAS,444316.0,4471748.0,40.394474188113975,-3.6561342020450103,914 772 235,914 787 031,aspaym@aspaymmadrid.org,/contenido/entidadesYorganismos/CentrosAtencionSocialPersonasDiscapacidad,,fisioterapia,,1250
1417,ATENPACE Centro de rehabilitación para jóvenes y adultos paralíticos cerebrales,,,Centro de rehabilitación para personas con discapacidad física.,"Metro: Peñagrande, Avenida de la Ilustración (línea 7)   Bus: 64, 83, 133",,3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f25376172d71c010VgnVCM1000000b205a0aRCRD,ISLAS MARQUESAS,CALLE,V,27.0,,,,,MADRID,MADRID,28035,3.0,PEÑA GRANDE,8.0,FUENCARRAL-EL PARDO,438435.0,4480885.0,40.47636911532918,-3.7263082350685446,913 167 446,,,/contenido/entidadesYorganismos/CentrosAtencionSocialPersonasDiscapacidad/CentrosDiasPersonasDiscapacidad,,fisioterapia,,1343
5861640,Cáritas Madrid. Agencia de Colocación,,,,Metro: Alfonso XIII (línea 4).,,3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c8f1b6417163c210VgnVCM1000000b205a0aRCRD,SANTA HORTENSIA,CALLE,V,1.0,BAJA,B,,,MADRID,MADRID,28002,2.0,PROSPERIDAD,5.0,CHAMARTIN,443212.0,4477464.0,40.44589307778763,-3.669648862272952,914 993 523,,agenciacolocacion@caritasmadrid.org,/contenido/entidadesYorganismos/CentrosAtencionSocial/CentrosServiciosApoyoSociolaboral,,,,1271
11156108,"Carmen Rodríguez, Centro de rehabilitación",,,Centro de rehabilitación para personas con discapacidad física.,"Metro: Arganzuela-Planetario (línea 6)  Bus: 148, 156",,3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=846cbc18998c0710VgnVCM2000001f4a900aRCRD,CROMO,CALLE,V,5.0,,,,,MADRID,MADRID,28045,4.0,LEGAZPI,2.0,ARGANZUELA,441575.0,4471285.0,40.39012058613276,-3.688378230986349,917 512 013 / 647 620 736,,,/contenido/entidadesYorganismos/CentrosAtencionSocialPersonasDiscapacidad,,fisioterapia,,1143
5666239,"Centro ASPA 1. Ámbito de actuación: Tetuán, Centro, Chamberí, Chamartín y Salamanca.",,Este programa realizará actividades en el siguiente horario: de lunes a viernes de 10 a 14 y de 15 a 18 horas y los sábados para la realización de actividades planificadas.,"Las actuaciones del programa ASPA se organizan en torno a las siguientes líneas de actuación:   Actuaciones de apoyo socioeducativo, dirigidas a adolescentes y jóvenes, que se encuentren expuestos a riesgos sociales por desatención familiar, entornos sociales y urbanos degradados, pobreza, desigualdad o discriminación.  Actuaciones de apoyo a la autonomía personal y al tránsito a la vida adulta, dirigidas a los adolescentes que se preparan para abandonar el sistema de protección, ofreciéndoles apoyos que aborden la especial vulnerabilidad en la que se encuentran los jóvenes que han estado bajo la guarda o la tutela de la administración.  Actuaciones de apoyo a adolescentes que son progenitores, dirigidas, por un lado, a su capacitación como madres y padres, a ayudarles en el cumplimiento de sus responsabilidades hacia los niños que se encuentren bajo su cuidado y, por otro, a ofrecerles apoyos que les permitan disfrutar de sus propios derechos.  Actuaciones de prevención de la violencia, dirigidas a adolescentes y jóvenes que hayan sido protagonistas de algún tipo de violencia en cualquiera de sus modalidades, ya sea como autor o como víctima .Se llevarán a cabo mediante la intervención específica en grupos de tratamiento cuando así se determine en su Programa Individualizado de Intervención o en derivaciones que pudieran recibirse desde el Sistema Penitenciario en el supuesto de acuerdos de colaboración para tratamientos alternativos de pena en jóvenes mayores de 18 años.  Actuaciones de apoyo prelaboral, dirigidas a adolescentes y jóvenes que por factores personales, familiares y sociales, hayan abandonado procesos previos de inserción escolar y necesiten un acompañamiento de cara a su incorporación al mercado laboral como elemento clave para una transición a una vida adulta autónoma.  Las actuaciones del programa van encaminadas a la consecución de los objetivos planteados en cada caso. Las intervenciones se realizarán en el ámbito de convivencia del adolescente o del joven: domicilio familiar, calle, centro de servicios sociales, centro escolar, etc., así como en los locales del programa ASPA. Estas actuaciones pueden contemplar alguno de los siguientes niveles de intervención:  Intervención individual. Intervención familiar. Intervenciones grupales. Intervención en centros educativos. Trabajo de calle.","Metro: Estrecho (Línea 1)Bus: 124, 128, 3, 66, 64, 43",Acceso:  se puede acceder de manera directa al Centro ASPA asignado al distrito en el que se está empadronado. También se puede acceder a través del Centro de Servicios Sociales  correspondiente mediante  cita previa .,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a60df44795448210VgnVCM2000000c205a0aRCRD,CASTILLA,CALLE,V,20.0,,,,,MADRID,MADRID,28039,1.0,BELLAS VISTAS,6.0,TETUAN,440250.0,4478290.0,40.45312576018934,-3.704655997185221,910 375 475,,adolescentesjovenes1@madrid.es,/contenido/entidadesYorganismos/CentrosAtencionSocialMenoresFamilias/CentrosAdolescentesJovenes,,healthprograms,,1459
5685956,"Centro ASPA 2. Ámbito de actuación: Hortaleza, San Blas, Barajas y Ciudad Lineal.",,Este programa realizará actividades en el siguiente horario: de lunes a viernes de 10 a 14 y de 15 a 18 horas y los sábados para la realización de actividades planificadas.,"Las actuaciones del programa ASPA se organizan en torno a las siguientes líneas de actuación:   Actuaciones de apoyo socioeducativo, dirigidas a adolescentes y jóvenes, que se encuentren expuestos a riesgos sociales por desatención familiar, entornos sociales y urbanos degradados, pobreza, desigualdad o discriminación.  Actuaciones de apoyo a la autonomía personal y al tránsito a la vida adulta, dirigidas a los adolescentes que se preparan para abandonar el sistema de protección, ofreciéndoles apoyos que aborden la especial vulnerabilidad en la que se encuentran los jóvenes que han estado bajo la guarda o la tutela de la administración.  Actuaciones de apoyo a adolescentes que son progenitores, dirigidas, por un lado, a su capacitación como madres y padres, a ayudarles en el cumplimiento de sus responsabilidades hacia los niños que se encuentren bajo su cuidado y, por otro, a ofrecerles apoyos que les permitan disfrutar de sus propios derechos.  Actuaciones de prevención de la violencia, dirigidas a adolescentes y jóvenes que hayan sido protagonistas de algún tipo de violencia en cualquiera de sus modalidades, ya sea como autor o como víctima. Se llevarán a cabo mediante la intervención específica en grupos de tratamiento cuando así se determine en su Programa Individualizado de Intervención o en derivaciones que pudieran recibirse desde el Sistema Penitenciario en el supuesto de acuerdos de colaboración para tratamientos alternativos de pena en jóvenes mayores de 18 años.  Actuaciones de apoyo prelaboral, dirigidas a adolescentes y jóvenes que por factores personales, familiares y sociales, hayan abandonado procesos previos de inserción escolar y necesiten un acompañamiento de cara a su incorporación al mercado laboral como elemento clave para una transición a una vida adulta autónoma.  Las actuaciones del programa van encaminadas a la consecución de los objetivos planteados en cada caso. Las intervenciones se realizarán en el ámbito de convivencia del adolescente o del joven: domicilio familiar, calle, centro de servicios sociales, centro escolar, etc., así como en los locales del programa ASPA. Estas actuaciones pueden contemplar alguno de los siguientes niveles de intervención:  Intervención individual. Intervención familiar. Intervenciones grupales. Intervención en centros educativos. Trabajo de calle.","Metro: San Lorenzo (Línea 4) Bus: 9, 72, 107",Acceso: se puede acceder de manera directa al Centro ASPA asignado al distrito en el que se está empadronado. También se puede acceder a través del Centro de Servicios Sociales  correspondiente mediante  cita previa .,2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=12bce7db0d598210VgnVCM1000000b205a0aRCRD,MAR DE ARAL,CALLE,V,13.0,,POSTERIOR,,,MADRID,MADRID,28033,4.0,PINAR DEL REY,16.0,HORTALEZA,445490.0,4480629.0,40.4745619971369,-3.643063156006797,910 375 476,,adolescentesjovenes2@madrid.es,/contenido/entidadesYorganismos/CentrosAtencionSocialMenoresFamilias/CentrosAdolescentesJovenes,,healthprograms,,1047
5685966,"Centro ASPA 3. Ámbito de actuación: Villaverde, Usera y Arganzuela.",,Este programa realizará actividades en el siguiente horario: de lunes a viernes de 10 a 14 y de 15 a 18 horas y los sábados para la realización de actividades planificadas.,"Las actuaciones del programa ASPA se organizan en torno a las siguientes líneas de actuación:   Actuaciones de apoyo socioeducativo, dirigidas a adolescentes y jóvenes, que se encuentren expuestos a riesgos sociales por desatención familiar, entornos sociales y urbanos degradados, pobreza, desigualdad o discriminación.  Actuaciones de apoyo a la autonomía personal y al tránsito a la vida adulta, dirigidas a los adolescentes que se preparan para abandonar el sistema de protección, ofreciéndoles apoyos que aborden la especial vulnerabilidad en la que se encuentran los jóvenes que han estado bajo la guarda o la tutela de la administración.  Actuaciones de apoyo a adolescentes que son progenitores, dirigidas, por un lado, a su capacitación como madres y padres, a ayudarles en el cumplimiento de sus responsabilidades hacia los niños que se encuentren bajo su cuidado y, por otro, a ofrecerles apoyos que les permitan disfrutar de sus propios derechos.  Actuaciones de prevención de la violencia, dirigidas a adolescentes y jóvenes que hayan sido protagonistas de algún tipo de violencia en cualquiera de sus modalidades, ya sea como autor o como víctima. Se llevarán a cabo mediante la intervención específica en grupos de tratamiento cuando así se determine en su Programa Individualizado de Intervención o en derivaciones que pudieran recibirse desde el Sistema Penitenciario en el supuesto de acuerdos de colaboración para tratamientos alternativos de pena en jóvenes mayores de 18 años.  Actuaciones de apoyo prelaboral, dirigidas a adolescentes y jóvenes que por factores personales, familiares y sociales, hayan abandonado procesos previos de inserción escolar y necesiten un acompañamiento de cara a su incorporación al mercado laboral como elemento clave para una transición a una vida adulta autónoma.  Las actuaciones del programa van encaminadas a la consecución de los objetivos planteados en cada caso. Las intervenciones se realizarán en el ámbito de convivencia del adolescente o del joven: domicilio familiar, calle, centro de servicios sociales, centro escolar, etc., así como en los locales del programa ASPA. Estas actuaciones pueden contemplar alguno de los siguientes niveles de intervención:  Intervención individual. Intervención familiar. Intervenciones grupales. Intervención en centros educativos. Trabajo de calle.","Cercanías: Villaverde Alto (C4, C5)Metro: Villaverde Alto (Línea 3)Bus: 22, 79, 86, 130",Acceso: se puede acceder de manera directa al Centro ASPA asignado al distrito en el que se está empadronado. También se puede acceder a través del Centro de Servicios Sociales correspondiente mediante cita previa.,2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=858fe7db0d598210VgnVCM1000000b205a0aRCRD,ALBERTO PALACIOS,PASEO,V,13.0,2ª,,,,MADRID,MADRID,28021,1.0,VILLAVERDE ALTO C.H.,17.0,VILLAVERDE,439639.0,4466404.0,40.34601035588372,-3.710727398045707,910 375 477,,adolescentesjovenes3@madrid.es,/contenido/entidadesYorganismos/CentrosAtencionSocialMenoresFamilias/CentrosAdolescentesJovenes,,healthprograms,,1314
5686562,Centro ASPA 4. Ámbito de actuación: Latina y Carabanchel.,,Este programa realizará actividades en el siguiente horario: de lunes a viernes de 10 a 14 y de 15 a 18 horas y los sábados para la realización de actividades planificadas.,"Las actuaciones del programa ASPA se organizan en torno a las siguientes líneas de actuación:   Actuaciones de apoyo socioeducativo, dirigidas a adolescentes y jóvenes, que se encuentren expuestos a riesgos sociales por desatención familiar, entornos sociales y urbanos degradados, pobreza, desigualdad o discriminación.  Actuaciones de apoyo a la autonomía personal y al tránsito a la vida adulta, dirigidas a los adolescentes que se preparan para abandonar el sistema de protección, ofreciéndoles apoyos que aborden la especial vulnerabilidad en la que se encuentran los jóvenes que han estado bajo la guarda o la tutela de la administración.  Actuaciones de apoyo a adolescentes que son progenitores, dirigidas, por un lado, a su capacitación como madres y padres, a ayudarles en el cumplimiento de sus responsabilidades hacia los niños que se encuentren bajo su cuidado y, por otro, a ofrecerles apoyos que les permitan disfrutar de sus propios derechos.  Actuaciones de prevención de la violencia, dirigidas a adolescentes y jóvenes que hayan sido protagonistas de algún tipo de violencia en cualquiera de sus modalidades, ya sea como autor o como víctima. Se llevarán a cabo mediante la intervención específica en grupos de tratamiento cuando así se determine en su Programa Individualizado de Intervención o en derivaciones que pudieran recibirse desde el Sistema Penitenciario en el supuesto de acuerdos de colaboración para tratamientos alternativos de pena en jóvenes mayores de 18 años.  Actuaciones de apoyo prelaboral, dirigidas a adolescentes y jóvenes que por factores personales, familiares y sociales, hayan abandonado procesos previos de inserción escolar y necesiten un acompañamiento de cara a su incorporación al mercado laboral como elemento clave para una transición a una vida adulta autónoma.  Las actuaciones del programa van encaminadas a la consecución de los objetivos planteados en cada caso. Las intervenciones se realizarán en el ámbito de convivencia del adolescente o del joven: domicilio familiar, calle, centro de servicios sociales, centro escolar, etc., así como en los locales del programa ASPA. Estas actuaciones pueden contemplar alguno de los siguientes niveles de intervención:  Intervención individual. Intervención familiar. Intervenciones grupales. Intervención en centros educativos. Trabajo de calle.","Bus: 35, 155Metro: La Peseta (Línea 11)",Acceso:  se puede acceder de manera directa al Centro ASPA asignado al distrito en el que se está empadronado. También se puede acceder a través del Centro de Servicios Sociales  correspondiente mediante  cita previa .,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2bedb9aa16698210VgnVCM1000000b205a0aRCRD,PATRIMONIO DE LA HUMANIDAD,CALLE,V,37.0,,,,C/V PALAU DE LA MÚSICA,MADRID,MADRID,28054,6.0,BUENAVISTA,11.0,CARABANCHEL,435170.0,4468229.0,40.36210281029443,-3.763548377327485,910 375 478,,adolescentesjovenes4@madrid.es,/contenido/entidadesYorganismos/CentrosAtencionSocialMenoresFamilias/CentrosAdolescentesJovenes,,healthprograms,,1481
